datetime;temperature;humidity;pressure;magnetic;wind
2008-09-09, 09:00;13;84;736;Геомагнитное поле спокойное;Ветер западный 1-4 м/с
2008-09-09, 15:00;19;46;735;Геомагнитное поле спокойное;Ветер СЗ 2-6
2008-09-10, 09:00;9;79;733;Геомагнитное поле спокойное;Ветер западный 4-7 м/с
2008-09-10, 15:00;10;62;736;Геомагнитное поле спокойное;Ветер северо-западный 4-8 м/с
2008-09-11, 09:00;6;91;742;Геомагнитное поле спокойное;Ветер северо-западный 1-3 м/с
2008-09-11, 15:00;12;64;742;Геомагнитное поле спокойное;Ветер южный 1-3 м/с
2008-09-12, 09:00;9;82;745;Геомагнитное поле спокойное;Ветер переменных направлений, слабый
2008-09-12, 15:00;12;65;745;Геомагнитное поле неустойчивое;Ветер восточный 2-5 м/с
2008-09-13, 09:00;8;94;743;Геомагнитное поле спокойное;Ветер восточный 1-5м/с
2008-09-13, 15:00;10;95;741;Геомагнитное поле неустойчивое;Ветер восточный 6
2008-09-14, 09:00;8;89;737;Геомагнитное поле спокойное;Ветер восточный 3-8м/с
2008-09-14, 15:00;9;94;737;Геомагнитное поле неустойчивое;Ветер восточный 1-4 м/с
2008-09-15, 09:00;7;94;742;Геомагнитное поле спокойное;Ветер северный 1-5м/с
2008-09-15, 15:00;8;87;743;Геомагнитное поле неустойчивое;Ветер восточный 2-5 м/с
2008-09-16, 09:00;4;98;736;Геомагнитное поле спокойное;Ветер северо-восточный 3-5м/с
2008-09-16, 15:00;4;97;735;Геомагнитное поле спокойное;Ветер cеверный 2-7 м/с
2008-09-17, 09:00;2;93;739;Геомагнитное поле спокойное;Ветер северный 3-6 м/с
2008-09-17, 15:00;8;68;741;Геомагнитное поле спокойное;Ветер cеверный 2-7 м/с
2008-09-18, 09:00;5;89;746;Геомагнитное поле спокойное;Ветер северный 1-5 м/с
2008-09-18, 15:00;8;72;749;Геомагнитное поле спокойное;Ветер северо-западный 2-6 м/с
2008-09-19, 09:00;7;88;750;Геомагнитное поле спокойное;Ветер северо-западный 1-4м/с
2008-09-19, 15:00;9;63;750;Геомагнитное поле спокойное;Ветер северный 5-10 м/с
2008-09-20, 09:00;7;66;750;Геомагнитное поле спокойное;Ветер северо-западный 2-5м/с
2008-09-20, 15:00;9;65;750;Геомагнитное поле спокойное;Ветер северо-западный 2-7
2008-09-21, 09:00;1;96;757;Геомагнитное поле спокойное;Ветер северо-западный 3м/с
2008-09-21, 15:00;10;60;756;Геомагнитное поле спокойное;Ветер Северный  1-4
2008-09-22, 09:00;2;89;755;Геомагнитное поле спокойное;Ветер западный 3м/с
2008-09-22, 15:00;8;76;756;Геомагнитное поле спокойное;Ветер северо-западный 1-5 м/с
2008-09-23, 09:00;5;92;756;Геомагнитное поле спокойное;Ветер переменный слабый
2008-09-23, 15:00;9;77;756;Геомагнитное поле спокойное;Ветер тихо
2008-09-24, 09:00;6;86;755;Геомагнитное поле спокойное;Ветер южный 1-2 м/с
2008-09-24, 15:00;12;55;754;Геомагнитное поле спокойное;Ветер переменный слабый
2008-09-25, 09:00;7;85;749;Геомагнитное поле спокойное;Ветер переменных направлений, слабый
2008-09-25, 15:00;12;44;747;Геомагнитное поле спокойное;Ветер западный 2-6 м/с
2008-09-26, 09:00;6;85;742;Геомагнитное поле спокойное;Ветер южный 1-3м/с
2008-09-26, 15:00;10;61;740;Геомагнитное поле спокойное;Ветер юго-западный 2-6 м/с
2008-09-27, 09:00;2;91;736;Геомагнитное поле спокойное;Ветер северо-западный 4-8м/с
2008-09-27, 15:00;2;96;736;Геомагнитное поле спокойное;Ветер северо-западный 5-8 м/с
2008-09-28, 09:00;0;82;741;Геомагнитное поле спокойное;Ветер северо-западный 3-5м/с
2008-09-28, 15:00;3;56;742;Геомагнитное поле спокойное;Ветер западный 3-8 м/с
2008-09-29, 09:00;-2;85;744;Геомагнитное поле спокойное;Ветер юго-западный 2-4м/с
2008-09-29, 15:00;6;52;741;Геомагнитное поле спокойное;Ветер юго-западный 2-8м/с
2008-09-30, 09:00;4;67;740;Геомагнитное поле спокойное;Ветер юго-западный 3-7 м/с
2008-09-30, 15:00;13;42;741;Геомагнитное поле слабо возмущенное;Ветер юго-западный 3-7 м/с
2008-10-01, 09:00;6;70;744;Геомагнитное поле неустойчивое;Ветер южный 3-4 м/с
2008-10-01, 15:00;15;46;745;Геомагнитное поле неустойчивое;Ветер юго-западный 1-6 м/с
2008-10-02, 09:00;3;86;746;Геомагнитное поле неустойчивое;Ветер слабый
2008-10-02, 15:00;17;37;746;Геомагнитное поле спокойное;Ветер западный 1-3м/с
2008-10-03, 09:00;2;93;748;Геомагнитное поле спокойное;Ветер слабый
2008-10-03, 15:00;17;30;747;Геомагнитное поле спокойное;Ветер юго-западный 2-5 м/с
2008-10-04, 09:00;6;70;746;Геомагнитное поле спокойное;Ветер юго-восточный 1-5м/с
2008-10-04, 15:00;19;49;747;Геомагнитное поле спокойное;Ветер Западный 3-7 м/с
2008-10-05, 09:00;9;72;748;Геомагнитное поле спокойное;Ветер юго-западный 1-4м/с
2008-10-05, 15:00;20;45;749;Геомагнитное поле спокойное;Ветер северо-западный 2-6 м/с
2008-10-06, 09:00;5;97;750;Геомагнитное поле спокойное;Ветер юго-западный 1-4 м/с
2008-10-06, 15:00;19;36;749;Геомагнитное поле спокойное;Ветер западный 2-5 м/с
2008-10-07, 09:00;2;98;748;Геомагнитное поле спокойное;Ветер западный 2 м/с
2008-10-07, 15:00;19;37;747;Геомагнитное поле спокойное;Ветер южный 1-3 м/с
2008-10-08, 09:00;5;87;744;Геомагнитное поле спокойное;Ветер слабый
2008-10-08, 15:00;17;42;743;Геомагнитное поле спокойное;Ветер южный 1-3 м/с
2008-10-09, 09:00;7;77;738;Геомагнитное поле спокойное;Ветер юго-восточный 1-3 м/с
2008-10-09, 15:00;18;40;736;Геомагнитное поле спокойное;Ветер юго-западный 3-5 м/с
2008-10-10, 09:00;5;93;735;Геомагнитное поле спокойное;Ветер северный 3-8 м/с
2008-10-10, 15:00;4;87;736;Геомагнитное поле спокойное;Ветер северный 3-7 м/с
2008-10-11, 09:00;1;85;737;Геомагнитное поле спокойное;Ветер северо-западный 3-6 м/с
2008-10-11, 15:00;4;67;738;Геомагнитное поле неустойчивое;Ветер северо-западный 3-7 м/с
2008-10-12, 09:00;0;74;741;Геомагнитное поле неустойчивое;Ветер западный 1-6м/с
2008-10-12, 15:00;3;64;739;Геомагнитное поле спокойное;Ветер юго-западный 6
2008-10-13, 09:00;1;86;730;Геомагнитное поле спокойное;Ветер южный 3-5 м/с
2008-10-13, 15:00;9;60;729;Геомагнитное поле спокойное;Ветер юго-западный 3-8 м/с
2008-10-14, 09:00;4;84;728;Геомагнитное поле спокойное;Ветер юго-западный 1-4 м/с
2008-10-14, 15:00;8;74;728;Геомагнитное поле спокойное;Ветер западный 1-6м/с
2008-10-15, 09:00;3;80;735;Геомагнитное поле спокойное;Ветер западный 4-8 м/с
2008-10-15, 15:00;7;51;737;Геомагнитное поле спокойное;Ветер западный 4-8 м/с
2008-10-16, 09:00;8;87;727;Геомагнитное поле спокойное;Ветер юго-восточный 1-6 м/с
